nohup: ignoring input
2025-08-24 00:21:29: Starting HiveServer2
Hive Session ID = 1901022c-81f5-46e3-b792-f31176acf5f4
Hive Session ID = 9e1ccff6-0e88-411a-a83b-51e2898eb64d
Hive Session ID = b602ce02-02db-46bc-8c8b-038ef4d13a40
Hive Session ID = b63c2855-c74b-416c-85e8-506488e43f60
Hive Session ID = 5765fc8e-1403-43d3-b502-087403920ba0
Hive Session ID = cdf3f64f-45ec-4271-bc3b-3e48277cfa50
Hive Session ID = 4b040027-2600-41cf-9404-1aacc990827a
Hive Session ID = 9a9d7d12-7a1d-4059-860d-ab099d3e14e4
Hive Session ID = ff189ab9-bbd7-4c70-a0c5-09dd54a6f372
Hive Session ID = d87eabf0-a178-44b3-af82-d15705e11595
Hive Session ID = 504abc51-ce8d-4cfb-a8b4-3ded9e786797
Hive Session ID = 146f09ae-590f-4b52-b06f-0c3e0c39d191
Hive Session ID = 69efaef3-614a-4733-a7d6-da0d21e7c87b
Hive Session ID = 4c6bdbdf-63d8-4288-86ce-e047fdcfc4b2
Hive Session ID = a81f7016-7751-4341-96f3-b8ad599f15e6
Hive Session ID = c5ccc1ca-81fe-4862-b51d-91db25ed4d55
Hive Session ID = 9a826baf-9540-4dc0-9c31-3577c342fff8
Hive Session ID = e0e29635-8e76-4a39-b167-71a0e7297aeb
Hive Session ID = f8014905-a775-4290-8234-6b4a560dede0
Hive Session ID = cd848a18-2fa4-414b-8eed-e26652c889a3
Hive Session ID = a67fc288-17ce-498a-860e-bdbee3def1ad
Hive Session ID = 34ea7deb-192f-44f8-bee2-9d530edef74a
Hive Session ID = f7a60282-6b59-4198-960a-f1cbc5f12999
Hive Session ID = 951936a7-b490-4dcb-8734-63b79fdfe5b8
Hive Session ID = 1fbc4e39-4bee-4859-acd5-0ab5f39f81ea
Hive Session ID = d0fcf13d-50f9-4fff-b6c2-3865055a3ef5
Hive Session ID = a80daf14-4d64-4c88-8a9a-f6549e41de23
Hive Session ID = 23f1f474-f11f-4b38-92f2-0e82db1e4b32
Hive Session ID = 6e24c4bf-ab8f-4704-a1b2-ca0f8f01b88f
Hive Session ID = 2099f83a-1bb2-4d44-b43a-c264f6903655
